Date,Time,Open,High,Low,Close
2021/12/8,11:45:00,17870,17885,17862,17875
2021/12/8,12:00:00,17876,17888,17860,17888
2021/12/8,12:15:00,17888,17898,17873,17878
2021/12/8,12:30:00,17878,17909,17877,17895
2021/12/8,12:45:00,17896,17904,17887,17900
2021/12/8,13:00:00,17901,17913,17879,17895
2021/12/8,13:15:00,17894,17904,17865,17869
2021/12/8,13:30:00,17870,17871,17840,17851
2021/12/9,08:45:00,17886,17922,17886,17912
2021/12/9,09:00:00,17910,17928,17901,17914
2021/12/9,09:15:00,17915,17946,17907,17925
2021/12/9,09:30:00,17924,17928,17888,17903
2021/12/9,09:45:00,17904,17908,17869,17891
2021/12/9,10:00:00,17892,17902,17875,17885
2021/12/9,10:15:00,17885,17920,17884,17920
2021/12/9,10:30:00,17919,17920,17905,17907
2021/12/9,10:45:00,17907,17917,17898,17914
2021/12/9,11:00:00,17914,17924,17902,17914
2021/12/9,11:15:00,17913,17920,17879,17890
2021/12/9,11:30:00,17889,17896,17870,17872
2021/12/9,11:45:00,17872,17880,17847,17855
2021/12/9,12:00:00,17855,17858,17821,17827
2021/12/9,12:15:00,17827,17843,17812,17835
2021/12/9,12:30:00,17836,17854,17828,17848
2021/12/9,12:45:00,17849,17857,17833,17837
2021/12/9,13:00:00,17838,17851,17830,17847
2021/12/9,13:15:00,17848,17890,17846,17888
2021/12/9,13:30:00,17888,17912,17881,17911
2021/12/10,08:45:00,17808,17841,17792,17829
2021/12/10,09:00:00,17829,17837,17769,17772
2021/12/10,09:15:00,17770,17838,17765,17837
2021/12/10,09:30:00,17838,17850,17826,17842
2021/12/10,09:45:00,17841,17862,17839,17842
2021/12/10,10:00:00,17841,17874,17835,17874
2021/12/10,10:15:00,17874,17874,17852,17856
2021/12/10,10:30:00,17856,17861,17842,17851
2021/12/10,10:45:00,17852,17865,17837,17842
2021/12/10,11:00:00,17843,17852,17828,17842
2021/12/10,11:15:00,17840,17841,17822,17830
2021/12/10,11:30:00,17831,17847,17821,17846
2021/12/10,11:45:00,17845,17852,17838,17848
2021/12/10,12:00:00,17847,17850,17821,17825
2021/12/10,12:15:00,17825,17846,17825,17839
2021/12/10,12:30:00,17839,17847,17827,17844
2021/12/10,12:45:00,17844,17849,17833,17842
2021/12/10,13:00:00,17840,17859,17839,17857
2021/12/10,13:15:00,17858,17862,17827,17835
2021/12/10,13:30:00,17835,17839,17811,17818
2021/12/13,08:45:00,17912,17944,17888,17889
2021/12/13,09:00:00,17888,17910,17874,17882
2021/12/13,09:15:00,17883,17901,17867,17873
2021/12/13,09:30:00,17874,17908,17867,17905
2021/12/13,09:45:00,17904,17921,17895,17903
2021/12/13,10:00:00,17904,17916,17861,17874
2021/12/13,10:15:00,17874,17874,17855,17860
2021/12/13,10:30:00,17860,17866,17833,17855
2021/12/13,10:45:00,17854,17858,17842,17850
2021/12/13,11:00:00,17849,17864,17832,17860
2021/12/13,11:15:00,17859,17864,17847,17847
2021/12/13,11:30:00,17847,17857,17846,17850
2021/12/13,11:45:00,17849,17863,17844,17861
2021/12/13,12:00:00,17860,17873,17846,17853
2021/12/13,12:15:00,17854,17866,17849,17857
2021/12/13,12:30:00,17857,17871,17855,17859
2021/12/13,12:45:00,17860,17862,17840,17845
2021/12/13,13:00:00,17844,17850,17833,17837
2021/12/13,13:15:00,17836,17839,17791,17791
2021/12/13,13:30:00,17793,17794,17743,17752
2021/12/14,08:45:00,17683,17711,17668,17689
2021/12/14,09:00:00,17690,17703,17644,17646
